energychar low [eV]	energychar high [eV]	surface	energy low [eV]	energy high [eV]	nuclide	score	mean	std. dev.
0.0	100.0	4	0.0	100.0	total	current	-0.01666452092660027	4.886529976734627e-06
100.0	200.0	4	0.0	100.0	total	current	-0.0025166885831051345	1.4014952757629422e-06
200.0	300.0	4	0.0	100.0	total	current	-0.001416477191050729	9.797938458702913e-07
300.0	400.0	4	0.0	100.0	total	current	-0.00093928254920973	8.823228256492856e-07
400.0	500.0	4	0.0	100.0	total	current	-0.0006669082559960456	8.434224443528314e-07
500.0	600.0	4	0.0	100.0	total	current	-0.0004916756784938361	7.093553947776453e-07
600.0	700.0	4	0.0	100.0	total	current	-0.0003672729710208656	6.072441884968929e-07
700.0	800.0	4	0.0	100.0	total	current	-0.00027455917281726116	3.214546920663885e-07
800.0	900.0	4	0.0	100.0	total	current	-0.00020132333231009928	4.845677028407008e-07
900.0	1000.0	4	0.0	100.0	total	current	-0.00015776444112294383	3.9879160396499804e-07
